"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"s1" 42 13 40 91 0 0 0 12 14 0 0 16 7 5 0 0 289 0 0 0 240 0 0 0 0 36 0 0 0 0 16 0 29 0 0 149 225 0 16 23 210 0 22 58 0 0 37 0 70 16
"s2" 14 7 22 34 74 0 17 6 0 0 0 10 11 12 13 0 143 0 2 0 127 0 3431 0 0 49 51 528 1001 0 5104 0 20 65 0 66 105 60 12 173 93 152 68 36 0 15 30 0 382 50
"s3" 22 0 5 92 3 0 8 25 0 0 0 12 0 11 41 6568 628 0 0 89 0 0 168 0 1 5 242 0 15 434 122 33 30 31 45 137 20 0 0 0 3231 564 0 0 0 0 133 0 0 0
"s4" 14 629 3 54 4 0 24 18 21 13 0 8 80 7 96 3349 342 0 0 93 217 3 318 18 3 128 133 1266 185 270 136 17 342 21 431 427 64 66 0 26 1663 343 0 0 0 22 80 1512 344 0
"s5" 61 0 54 0 242 0 0 0 203 1 46 79 0 1179 178 19 10 0 0 671 8 1 0 45 324 20 0 0 176 0 40 80 215 2161 0 42 0 0 0 1508 735 0 82 6 8 0 9 26 0 0
"s6" 37 7 726 587 728 22 260 0 106 100 54 52 52 631 133 15 88 1 0 369 50 48 218 19 185 37 90 3106 3530 43 36 33 172 1124 0 5310 2928 123 4416 1071 382 176 3745 9 4 417 1 10 27 0
"s7" 1726 3 31 166 2 22 0 1223 28 2 0 21 0 16 0 0 0 0 0 82 0 1 0 24 0 15 0 39 21 0 13 5 434 0 0 0 53 0 0 39 114 2654 284 0 48 0 11 107 0 18
"s8" 842 4920 36 125 7 17 0 622 651 115 0 15 6 266 188 0 0 8 0 44 3 2 3382 180 25 7 32 47 42 19 17 0 1112 0 0 0 92 15 0 20 66 1350 133 35 24 50 66 75 870 217
"s9" 0 166 12 0 0 0 0 0 0 0 0 0 0 10 40 19 297 0 0 40 295 89 0 50 0 22 0 0 0 0 56 0 1259 68 1985 279 0 23 0 0 25 2037 14 0 0 118 90 22 1549 351
"s10" 32 94 6701 0 0 0 27 0 74 0 65 0 0 0 50 17 120 0 1 40 374 41 0 56 0 11 0 0 178 5 137 14 1813 40 1308 178 26 119 140 17 32 970 70 14 15 108 41 158 783 331
"s11" 577 0 2080 0 0 0 0 0 0 0 0 49 312 0 0 0 1421 0 0 0 0 3 84 0 2 0 280 229 0 11 26 0 0 198 0 0 0 17 8 0 0 8 123 24 51 0 1924 2847 169 74
"s12" 0 5 0 0 7 29 2884 0 0 0 0 0 0 6 182 0 0 11727 0 3898 68 0 0 0 6 0 0 0 1368 0 0 70 0 0 365 212 97 0 0 22 1696 0 0 20 0 2348 0 0 0 15
"s13" 0 74 0 14 0 0 696 13 54 44 2355 0 376 2678 14 60 1161 0 0 0 561 37 0 0 0 0 0 0 0 0 0 0 1172 0 0 0 0 0 972 0 278 0 46 0 88 0 2 0 0 0
"s14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 1029 0 0 0 0 0 0 199 179 121 20 0 0 0 4 1002 687 4058 4 0 81 0 1339 0 3166 23 340 0 0 0 454
"s15" 84 0 366 19 11 0 402 0 0 96 0 0 0 2153 198 0 1265 0 0 0 83 2 0 0 0 181 906 50 826 0 0 0 0 0 0 459 0 11 40 857 193 46 40 0 0 0 7244 0 15 0
"s16" 0 1611 0 0 0 4 0 0 0 98 0 0 5547 0 0 977 0 1 0 49 0 0 0 0 200 0 0 50 649 0 0 0 0 0 194 0 0 0 0 0 0 9 0 5 0 0 0 47 0 6869
"s17" 9 0 0 0 0 0 0 0 711 0 8 0 48 0 0 97 40 10 0 37 0 0 0 0 0 0 6127 0 0 0 0 0 0 0 43 22 0 0 25 205 0 85 31 0 0 0 47 73 0 189
"s18" 0 34 235 252 45 2065 54 4 0 0 0 62 0 0 0 0 0 0 7 0 19 16 0 3312 250 6 0 896 0 0 39 484 22 6561 0 0 0 0 74 0 36 0 0 6 0 19 0 0 0 0
"s19" 0 0 22 0 0 0 0 14 0 5 64 0 0 0 9 0 4554 0 0 0 7 40 9 14 0 0 522 93 0 4 2089 12 211 0 1768 120 0 1427 179 22 56 6 0 8 42 0 0 82 0 0
"s20" 4 125 0 0 0 124 0 0 22 0 24 5 20 166 0 261 0 0 82 835 0 0 0 115 42 6 0 0 125 0 0 0 42 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 69 17
"s21" 0 5 0 660 0 0 77 0 0 0 46 9748 11 0 81 0 17 2 0 36 0 2 18 0 0 0 0 0 0 6 0 9423 0 5 140 1385 116 0 9 81 0 115 0 1098 52 0 19 14 0 12
"s22" 150 0 0 0 19 169 0 10 32 0 0 0 0 23 0 4 0 0 1 362 0 12 0 20 0 438 0 38 126 0 0 0 340 247 0 0 1291 308 0 0 34 0 18 0 0 410 0 0 282 0
"s23" 265 24 0 26 0 9159 3287 11 0 0 0 0 0 0 0 0 0 0 113 0 0 1 0 79 10 168 156 0 545 0 15 0 0 43 38 454 0 114 40 21 0 0 0 0 11180 306 866 0 69 123
"s24" 0 0 0 0 22 0 0 0 2919 0 0 148 0 0 17 110 20 0 11531 462 626 0 21 173 0 0 0 0 0 150 1099 24 0 12 556 0 0 0 12 108 170 83 0 0 0 3769 0 50 164 0
"s25" 0 0 4 434 74 0 111 19 0 3 0 25 0 0 0 14 0 0 1 0 0 522 5 0 1 0 519 110 465 78 53 224 39 0 0 0 0 1828 0 24 0 0 7 0 0 105 0 34 49 0
"s26" 0 40 5 0 0 1 0 0 55 1019 17 56 0 0 0 0 9 0 0 0 0 0 0 0 0 0 131 2555 0 0 1670 0 0 6 31 23 16 0 0 774 208 0 2155 0 0 0 0 0 0 0
"s27" 124 47 0 0 8 7 0 14 231 0 136 0 0 30 0 0 0 0 1 0 0 10737 8 0 7 22 1176 83 0 363 134 0 239 0 1272 0 230 22 82 17 0 7 36 16 76 68 20 6253 13 71
"s28" 0 0 629 12 383 0 0 1 0 10140 390 0 13 0 53 8 161 3 0 0 38 0 194 15 7 0 0 0 174 10214 155 13 125 8 0 50 2252 0 0 74 2168 159 133 5992 39 121 0 0 0 147
"s29" 0 700 8 0 43 0 0 0 210 0 791 0 51 0 571 0 37 0 0 55 163 0 0 0 6 0 0 76 0 6 658 6 28 60 45 0 0 0 3578 21 47 76 0 48 0 0 3 0 0 47
"s30" 7284 0 0 8 0 2 0 0 0 0 0 0 221 0 4872 0 0 0 0 933 0 7 6 0 0 45 0 0 39 0 0 0 0 543 0 67 0 0 0 691 0 0 0 182 0 148 5 27 35 1523
"s31" 0 112 50 223 88 46 1184 198 2139 11 42 41 0 1455 168 47 12 0 1 230 63 0 1612 407 1 271 227 878 35 6 22 142 73 105 0 0 0 52 52 21 50 422 0 287 2 192 11 60 0 465
