"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"s1" 0 1135 244 0 1287 0 0 222 65 6 0 202 0 7 6 45 0 0 35 0 17 14 28 0 0 57 0 0 21 0 0 197 450 0 5 12 50 677 0 0 560 208 0 0 9 0 4 0 293 38
"s2" 36 575 116 0 679 0 78 1990 41 8 109 158 0 4 10 30 55 40 219 0 300 118 20 2 0 38 6 2 8 0 0 80 283 72 6 363 26 352 0 0 255 242 0 12 12 37 2 63 150 65
"s3" 0 125 236 0 52 0 245 9 10 30 0 581 375 0 9 61 0 0 201 0 138 3206 28 0 0 0 0 4034 0 65 0 1 44 0 0 54 9 60 0 76 0 0 2 3040 0 72 12 0 0 10
"s4" 0 139 112 0 142 11 128 14 451 22 0 439 4082 371 3 16 488 16 112 6 1424 1560 23 2 1 14 8 1983 0 44 0 10 654 12 0 23 13 43 21 42 0 1299 5 1543 0 245 8 4 35 8
"s5" 502 0 156 0 0 0 32 0 0 38 0 0 25 2 0 12 0 180 0 0 15 0 0 0 0 0 0 0 12 0 15 93 0 0 0 0 0 0 0 43 21 0 3 0 1335 3081 3 17 23 51
"s6" 269 0 302 0 9 0 19 134 154 28 0 11 24 5 3 15 21 110 4 0 14 32 300 6 0 0 42 0 10 641 9 320 0 0 0 0 0 16 0 28 22 0 61 0 643 1578 0 15 37 31
"s7" 0 0 482 252 0 15 0 0 0 1234 0 6 800 0 4 22 0 36 0 157 22 0 0 0 0 0 142 0 0 15 0 8 83 356 0 0 2 0 0 301 0 9 0 31 0 0 50 135 0 144
"s8" 945 60 211 169 128 16 1608 16 1 776 1 204 388 24 0 43 48 88 2 130 15 311 37 0 0 5 629 3 75 27 0 2 55 196 1 5 11 0 2437 130 18 2 0 110 0 3 33 64 51 151
"s9" 42 95 344 64 4 0 111 0 188 0 0 140 0 0 62 0 526 0 11 13 0 12 0 0 0 723 0 0 2628 141 75 0 0 0 2 23 2274 0 0 116 24 40 0 0 1727 7 0 0 28 0
"s10" 78 72 187 44 593 13 51 0 97 58 384 62 0 5 33 184 231 10 11 6 0 9 31 22 0 1239 0 2 1377 57 51 0 15 120 13 5 1125 0 1222 86 210 27 27 0 880 1 2 0 0 13
"s11" 173 0 0 0 0 0 0 61 0 0 158 0 13 0 0 11 0 0 4 0 82 58 23 3 0 146 0 0 4 1797 0 0 38 223 0 0 0 198 0 48 46 0 13 16 0 0 0 38 0 240
"s12" 0 0 278 8 2090 889 0 0 0 63 0 9 0 479 65 0 0 0 17 11 0 0 0 0 0 5 6 1 0 0 0 0 0 0 5 35 0 0 151 0 0 9 0 0 20 0 0 0 0 0
"s13" 202 1159 0 21 14 96 0 0 2 0 0 24 44 0 35 0 18 0 4 0 0 12 0 0 5 0 0 0 803 0 0 0 0 3 0 16 196 0 46 10 22 0 4 0 40 138 0 1315 551 0
"s14" 0 0 0 0 0 17 0 97 0 130 0 0 0 14 0 11 0 0 0 0 6 9 49 3 0 39 8 0 0 20 7 44 62 20 181 93 0 10 0 0 0 1250 0 0 0 0 12 0 0 0
"s15" 0 0 0 10 0 184 0 0 5 0 0 7 30 0 1 0 79 16 0 3 165 0 0 0 0 0 0 0 0 19 46 0 17 0 53 0 0 0 0 0 0 0 60 0 184 58 567 0 0 9
"s16" 129 0 634 0 18 0 14 7 4 0 77 0 0 0 8 47 0 0 712 0 0 0 152 30 1 667 1193 0 0 0 6 5 0 668 0 549 0 267 541 0 25 1 0 10 0 0 0 0 222 0
"s17" 0 763 71 0 318 0 0 0 12 19 0 0 65 219 2 164 120 0 3 2748 0 82 0 5696 0 14 39 0 2 495 0 31 0 257 522 0 0 0 0 0 16 0 0 0 0 0 0 56 25 0
"s18" 21 0 80 0 0 587 8 10 0 27 33 0 0 0 0 0 0 1638 0 0 0 0 8 0 0 42 0 46 0 0 17 0 23 0 0 0 5 62 40 24 0 7 23 0 0 0 108 0 71 0
"s19" 79 0 73 0 19 1809 0 2096 0 67 4421 78 35 0 0 40 0 0 18 0 0 60 2272 0 0 20 0 0 13 0 0 348 0 1691 38 0 22 18 0 0 0 154 0 0 0 0 1909 0 0 0
"s20" 0 0 0 0 0 0 152 0 0 0 0 0 0 0 28 0 376 50 0 14 0 0 0 0 6167 0 0 16 0 0 0 0 0 0 0 7 0 0 0 0 0 0 17 0 0 1 0 70 91 0
"s21" 1752 88 23 0 0 0 11 0 1 0 0 78 119 1102 0 0 0 0 71 0 0 13 600 1 0 0 56 0 0 14 69 645 0 0 0 0 0 0 471 18 0 15 0 0 0 0 0 6 0 0
"s22" 0 288 699 248 392 0 128 0 0 0 147 208 0 747 0 16 8 0 0 1626 0 123 0 153 0 53 34 1 0 1004 0 0 122 0 0 147 2 0 0 0 0 0 0 2 0 0 34 0 0 4416
"s23" 111 0 32 47 185 37 0 0 8 21 0 2 0 56 0 48 110 80 0 254 0 37 0 0 0 7 3 2 0 0 6 518 241 0 2 0 0 268 0 0 0 4 2 114 0 20 16 10 366 31
"s24" 0 704 0 0 0 40 0 6 0 183 0 4 0 0 5411 0 0 1198 0 0 95 0 0 0 0 0 0 0 90 125 1428 0 0 8 0 0 0 0 109 0 0 0 0 0 9 0 1477 190 0 0
"s25" 0 50 20 35 39 856 314 12 5 0 0 1455 0 2673 0 29 260 19 15 0 0 5 0 83 0 1123 0 0 21 0 222 11 0 26 3012 7 1 0 17 0 10 2546 75 20 94 674 24 2581 706 11
"s26" 1409 0 0 0 0 0 0 0 4928 62 4 0 0 0 3 1720 0 173 0 0 195 0 888 0 0 0 127 0 0 0 0 0 128 0 0 4744 0 15 38 889 2625 0 0 0 0 0 0 0 2271 75
"s27" 0 0 0 517 0 0 13 27 0 1087 16 10 0 10 5 0 10 0 4 0 3222 20 74 5 0 0 0 11 5 192 157 0 52 2127 0 0 0 0 64 0 9 0 54 296 176 0 10 0 53 5
"s28" 0 77 29 0 5 36 0 0 0 0 0 394 0 0 3 0 24 0 261 0 0 0 525 0 0 0 17 19 0 0 0 3 0 0 0 0 0 75 0 0 0 0 0 0 0 58 1850 35 0 0
"s29" 10 303 1070 0 13 161 2906 13 0 0 0 0 104 141 20 497 0 52 0 7 306 9 0 0 0 0 0 9 659 0 142 56 0 2 0 7 0 0 368 916 2143 0 690 14 0 23 0 15 33 268
"s30" 19 0 0 16 0 615 0 0 0 0 0 1329 0 0 0 0 862 189 0 0 0 0 0 0 0 51 31 0 0 22 0 0 93 38 0 0 13 787 0 0 0 0 170 0 0 145 6 0 358 0
"s31" 27 0 189 15 17 32 0 0 37 101 232 0 11 15 171 36 0 15 0 182 6 56 16 0 0 4 161 2 256 189 76 5 27 186 743 33 11 241 87 233 0 0 7 13 173 0 2 0 31 159
"s32" 15 0 98 33 9 48 0 0 55 60 99 0 9 6 146 88 0 21 0 91 5 52 20 0 0 10 74 1 112 330 32 0 28 104 1550 20 23 126 68 504 0 0 5 8 331 0 16 0 33 77
"s33" 212 0 161 133 16 0 13 24 30 73 55 359 0 25 18 0 29 0 0 0 22 35 8 0 0 68 133 4 0 245 354 24 2409 0 9 6 13 893 0 1682 0 10 3210 20 5 13 0 23 29 26
"s34" 87 0 282 119 39 0 0 12 17 51 62 313 6 12 47 0 56 20 0 7 30 55 33 1 0 17 67 8 0 440 232 10 1202 0 5 20 13 1751 14 982 0 5 1617 37 0 6 0 26 46 36
"s35" 0 0 0 20 0 105 58 62 0 18 97 0 5 0 0 14 127 15 45 92 0 0 18 1 0 27 986 6 0 0 527 2 27 14 0 0 0 0 258 0 0 142 4 229 239 0 0 12 42 51
"s36" 0 30 0 13 0 79 30 111 0 41 49 0 16 0 0 9 286 30 24 38 0 0 20 2 0 12 1896 5 0 0 291 2 41 19 0 0 1 21 114 0 0 141 0 467 134 0 0 28 46 77
"s37" 12 248 0 250 61 275 29 362 27 681 23 26 0 71 55 999 825 46 2898 269 17 0 230 1 0 611 0 4 42 105 163 2429 37 8 0 0 1576 47 35 0 5 9 16 77 49 4 0 7 30 81
"s38" 6 130 0 494 32 118 39 766 36 1190 47 72 12 41 22 2017 1292 15 1454 506 33 0 125 2 0 292 0 15 36 171 98 1305 43 8 0 5 778 15 30 14 3 6 50 115 91 2 0 5 0 42
"s39" 26 103 25 2363 8 49 90 75 0 68 44 0 4 97 4 0 106 776 27 8 30 133 423 49 0 583 250 0 0 0 1427 16 0 11 10 0 8 80 29 18 83 19 42 0 16 5 16 988 184 23
"s40" 12 30 20 1303 5 86 97 48 0 32 116 3 7 48 0 0 217 1341 22 6 15 153 223 112 0 307 266 0 0 16 724 9 0 5 17 0 2 152 14 14 77 29 17 0 7 3 13 471 369 36
