"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"s1" 13 45 0 0 0 42 38 67 3 42 3 2 24 0 1 0 0 37 0 59 1 0 353 17 0 0 9 0 9 0 0 0 142 6 181 15 23 333 2008 0 17 0 0 0 4 0 0 1885 19 1
"s2" 0 26 0 0 34 104 15 235 6 7 1 216 13 20 1 0 0 6 35 10 0 0 108 80 31 1 40 9 3 0 0 0 42 412 40 0 40 82 408 0 7 6 2489 0 2 0 3 396 9 0
"s3" 0 57 14 4 19 0 39 0 0 0 1 2488 3 24 25 0 0 0 0 0 0 0 1202 37 8 0 0 0 0 0 0 583 0 5 0 0 2 0 11 8 8 0 1 3 0 0 82 21 0 0
"s4" 0 262 5 5 2 9 11 45 0 0 828 470 0 12 0 12 24 0 32 0 0 0 224 15 0 0 16 12 26 0 2 108 0 486 12 17 0 0 18 0 1 498 0 4 0 0 99 8 0 4
"s5" 301 71 10 0 94 0 4 0 0 26 0 6 271 848 0 0 0 0 0 39 0 2 4 0 25 10 22 7 2 3 0 10 0 20 0 0 0 7 5 0 0 0 3 0 1 0 0 14 6 0
"s6" 85 95 88 106 78 0 585 25 0 453 0 10 64 426 12 0 54 40 8 56 0 1 0 9 50 31 34 78 0 338 0 81 4 6 171 106 0 11 4 1333 0 8 0 0 11 103 267 5 3 13
"s7" 0 570 0 17 0 0 0 0 17 0 0 0 0 0 3 0 5 4 98 0 2 0 0 27 8 1 0 37 166 11 5 6 95 0 2044 44 9 36 0 0 0 3 56 0 933 66 564 15 0 0
"s8" 726 112 20 15 430 526 1 33 99 0 0 0 0 0 8 0 2257 3 37 0 3 1 0 20 0 0 0 155 33 4 35 5 14 0 400 0 6 17 0 34 219 158 14 0 194 604 135 28 409 96
"s9" 13 0 0 0 713 7 10 41 0 15 5 1 9 34 0 0 0 0 22 0 0 1 352 25 0 162 12 0 0 150 14 0 0 19 0 0 36 0 0 3 0 141 0 1 9 0 54 291 1 0
"s10" 22 259 10 0 142 5 5 277 0 0 52 3 35 6 2 0 27 60 214 13 45 2 86 35 15 219 10 10 0 40 2 0 0 24 1 0 3 0 4 6 2 69 0 13 1 7 16 57 1311 0
"s11" 458 4 21 0 0 0 0 17 28 0 2 28 0 273 4 0 0 257 248 37 0 0 5 0 0 0 6 0 0 0 0 91 1197 0 1 402 22 0 160 1153 2 0 0 0 47 0 9 0 1033 0
"s12" 36 0 76 19 203 16 0 0 0 146 5 0 17 0 0 0 12 0 0 0 0 23 0 28 44 2 0 212 0 1102 0 0 0 0 2 186 0 0 0 0 0 0 21 2 0 2040 0 10 0 21
"s13" 306 0 0 6 0 38 0 48 0 80 0 1 0 82 0 0 23 0 0 0 0 5 3 0 0 0 40 0 0 340 36 13 0 200 54 16 21 0 347 23 4 0 0 1 1 0 0 9 0 4
"s14" 258 61 658 0 366 0 4 0 22 0 11 0 275 0 260 0 0 0 43 0 0 0 0 110 0 3 0 0 0 0 0 20 1 0 331 16 0 30 0 0 0 10 0 0 0 11 2 0 6 0
"s15" 0 15 0 0 0 0 0 35 1044 0 198 0 0 37 0 0 0 18 0 162 5 0 4 0 0 3 0 0 0 913 0 1981 0 0 0 0 1084 0 9 0 0 17 0 0 0 0 66 0 12 0
"s16" 0 158 1976 41 31 0 815 22 0 0 0 2 64 0 0 2 8 0 0 0 0 0 0 821 0 0 3 14 2 0 0 0 14 0 1 256 0 0 0 7 216 3 0 3262 7 8 0 0 0 0
"s17" 0 12 0 0 671 0 21 0 0 0 85 0 0 493 0 1 0 9 0 11 0 0 0 171 0 0 6 0 0 0 306 6 0 784 7 19 0 15 0 0 0 0 162 0 6 0 303 0 0 0
"s18" 16 30 57 0 0 0 0 584 0 68 5 9 0 0 0 0 0 0 19 0 4 0 792 0 6 0 77 267 0 18 148 0 18 0 0 0 5 0 36 0 0 1755 0 1 0 0 0 9 0 900
"s19" 0 0 19 16 42 7 100 117 0 10 0 0 0 0 0 1 9 0 0 1067 0 0 14 0 9 0 175 0 0 25 0 0 22 0 5 0 64 12 0 0 0 0 322 0 0 6 4 124 0 2
"s20" 13 0 0 15 0 37 0 0 584 157 8 0 279 23 1 0 0 606 74 0 1 0 28 0 0 166 0 147 0 0 17 14 1 3 0 73 0 0 33 74 389 1 0 0 738 3 15 0 0 0
"s21" 10 132 0 0 0 0 441 32 338 0 16 0 0 11 1 51 13 21 0 26 0 2 0 2 10 47 33 14 1 5 13 32 129 431 1 0 1002 696 0 0 0 40 0 48 0 2 41 0 0 6
"s22" 0 0 12 0 3 95 0 24 0 117 0 27 0 0 0 0 24 0 0 587 1 0 0 0 32 2259 0 43 0 64 0 0 0 0 0 987 0 0 0 0 0 0 0 15 0 0 101 0 3 0
