"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"s1" 257 8 0 33 1955 9 7 0 1 42 3 25 0 1785 0 0 2 0 0 0 0 0 444 0 0 4 11 3 0 0 9 0 0 27 2 64 0 0 0 16 0 0 260 2 0 0 0 92 39 0
"s2" 78 33 42 11 448 26 5 6 17 7 34 502 0 400 7 39 3 7 5 708 1018 3 210 1 2 7 45 1 0 0 0 0 0 10 0 27 0 25 0 14 0 0 57 0 1554 5 29 48 7 59
"s3" 0 34 0 187 7 5 13 0 0 1 20 0 2 60 25 0 2310 196 11 0 0 0 0 3 0 3 10 27 25 0 2326 15 19 36 0 0 0 484 2 0 0 12 0 1 6 1 145 868 1 13
"s4" 549 27 10 86 3 8 109 0 2 2 18 0 12 91 2 164 459 153 7 7 0 2 0 1 0 9 1751 7 254 0 550 2 139 12 0 0 0 115 4 91 1 0 0 43 244 51 177 176 0 411
"s5" 3 0 10 39 1 0 3 23 39 0 7 34 11 0 6 0 0 0 0 0 12 3411 19 0 3417 2 0 36 0 3 0 7 0 0 0 95 0 6 8 334 0 140 30 42 14 0 31 12 0 10
"s6" 4 0 10 67 108 836 174 6 32 0 48 27 28 0 13 39 0 0 0 39 4 670 0 3 675 2118 1659 22 10 154 0 150 21 5 0 47 7 14 0 965 0 27 15 13 8 7 18 0 121 0
"s7" 0 0 0 0 37 0 7 0 3 0 1 19 0 0 131 428 0 11 0 0 0 10 0 0 0 4 2 0 24 30 168 4 0 4 37 9 4 0 37 6 0 41 113 0 277 1 47 0 1 10
"s8" 9 0 0 0 1004 37 3 2 0 0 1 0 0 0 33 494 1 2 98 7 6 3 36 0 1 17 32 44 25 29 35 147 70 9 4 11 0 0 3388 5 0 21 25 0 73 0 11 3 1 17
"s9" 0 759 3 2684 0 4 0 0 0 1508 3 0 60 197 300 8 0 107 0 0 15 1 18 0 2 0 0 2 0 4 0 0 16 0 107 261 0 0 2 6 0 57 0 279 0 0 0 539 1643 92
"s10" 22 159 0 519 0 8 2826 0 3590 309 1 124 12 192 108 0 1 25 0 131 609 0 24 0 5 61 0 0 150 0 21 17 4 692 77 44 102 0 10 83 1 11 0 53 3 8 8 128 302 32
"s11" 0 219 253 0 2 0 0 61 0 0 0 729 1 0 0 821 0 9 172 24 1041 0 0 0 0 0 0 0 0 328 41 0 25 11 6 0 0 1227 0 7 0 0 0 4 4 104 0 0 37 0
"s12" 17 0 0 4 2 12 17 19 13 14 0 0 0 0 0 0 392 0 0 0 0 0 0 2949 0 0 328 2370 150 0 0 0 3 0 0 3 0 0 0 3 0 161 2 0 0 176 25 0 15 0
"s13" 16 0 35 0 53 8 6 1466 46 4 1 0 1 39 3189 0 0 6 6 0 0 0 190 0 0 146 0 0 2138 0 0 1 0 0 0 0 12 0 0 13 2 0 6 0 0 0 0 0 0 21
"s14" 0 9 61 4 0 0 10 0 75 0 0 0 0 0 0 13 2 0 44 0 211 2 0 0 1 0 8 1 0 85 33 0 0 5 0 18 58 0 0 0 30 11 14 3 0 2 31 8 0 21
"s15" 1951 0 0 0 0 0 12 0 0 0 0 0 1 0 4 0 16 252 0 0 6 21 53 0 0 0 0 0 3 0 44 3 3075 18 0 0 26 0 0 0 0 0 409 0 0 0 5 74 0 96
"s16" 0 0 1389 0 122 2 0 0 0 4 77 51 0 91 7 22 0 0 15 21 0 10 0 1 0 182 146 6 3 16 60 0 0 0 0 22 19 44 13 42 0 2881 0 0 397 0 6 0 0 0
"s17" 0 0 85 0 0 12 0 26 16 1564 3 28 0 9 7 244 47 3 112 0 0 3 24 0 0 0 0 1 122 0 12 36 0 0 1 0 6 60 0 0 0 183 0 0 2 0 0 120 0 0
"s18" 0 1697 0 5 0 0 18 35 12 0 0 11 0 0 0 0 0 0 0 0 44 0 0 0 0 0 0 18 0 1468 32 0 5 6 0 441 0 0 492 30 0 0 34 0 5 3576 5 0 0 0
"s19" 0 3 39 0 0 0 0 0 0 19 1 0 4 363 3 0 271 14 0 27 0 1 163 0 0 53 0 1 7 0 146 2085 0 0 3732 46 0 0 0 0 0 0 3 0 0 5 80 0 1026 6
"s20" 1098 0 18 26 15 43 0 0 21 3 0 0 0 0 0 520 0 0 0 0 93 2 0 0 1 0 6 0 0 0 53 0 398 8 0 0 50 451 0 5 15 30 0 1 34 0 0 5 0 8
"s21" 8 9 0 8 0 21 6 6 2 0 0 28 2 104 3 0 0 5 70 27 927 0 0 0 0 15 2 14 0 0 31 0 237 0 0 10 0 0 4 203 3387 9 0 3 13 0 21 554 3 0
"s22" 0 0 0 0 167 0 0 1 14 0 0 190 0 0 18 0 8 0 0 0 0 0 24 0 0 1044 3 1257 0 274 0 251 0 20 0 3 282 0 0 0 0 64 13 0 53 0 0 0 1 8
"s23" 0 30 775 0 5 0 2 0 5 219 3 0 4 0 148 28 0 0 0 359 18 0 0 0 0 2 4 0 57 309 21 16 0 0 5 0 0 62 0 9 0 22 4 9 0 8 0 14 0 10
"s24" 0 283 0 0 0 0 189 0 47 0 0 0 0 124 12 43 0 2 0 0 3 0 97 0 9 0 4 23 32 0 0 28 0 0 0 0 0 0 0 0 0 0 10 0 1 0 0 0 34 20
"s25" 0 35 7 0 0 5 2 3 0 1 0 0 0 22 7 0 4 2853 5 30 0 1 255 3 37 0 0 108 415 0 7 52 100 0 9 0 104 996 0 9 0 0 2 6 10 0 0 1301 2 0
"s26" 5 0 4 0 0 0 693 16 16 24 1 0 1 45 23 0 0 0 32 0 0 0 0 0 0 0 2 0 0 0 36 1333 0 18 22 17 0 0 0 512 1 18 390 0 47 7 0 0 2 0
"s27" 0 34 8 8 2 13 9 1504 7 0 1 63 4015 0 35 23 60 0 0 1 34 0 149 0 3 2 0 176 0 0 0 2 3 0 8 0 0 333 2 125 1 37 119 0 58 3 94 0 1 9
"s28" 0 0 1127 220 164 0 0 0 0 0 0 333 0 24 0 0 21 7 176 0 46 0 0 0 0 0 59 0 0 0 205 0 0 1781 0 0 0 0 4 0 4 0 0 11 4 56 0 0 9 83
"s29" 0 0 7 0 0 135 0 898 2 5 2700 417 0 0 0 0 1 1 0 14 0 0 0 0 0 474 0 5 153 8 12 0 0 1165 2 2 0 12 105 0 0 9 0 0 1043 9 0 8 13 0
"s30" 30 0 13 8 11 0 0 0 5 15 0 0 0 0 0 6 23 364 181 0 0 0 89 0 2 0 1 0 0 0 0 0 0 0 28 0 31 0 0 5 0 0 2473 20 0 0 0 0 0 0
"s31" 64 0 73 13 11 0 0 6 0 0 177 278 0 13 0 11 23 10 17 48 11 1 122 68 0 1 5 0 35 171 0 1 2 20 3 37 6 3 1 68 2 0 2 31 48 6 87 5 0 0
"s32" 22 0 13 106 24 0 0 2 0 3 917 395 0 4 0 55 3 16 12 12 1 0 713 384 1 1 1 0 14 759 0 0 27 4 3 83 0 21 15 168 0 0 2 102 12 51 20 0 3 0
"s33" 12 142 8 30 8 21 9 0 12 0 38 0 0 59 5 808 299 35 9 2 2 0 0 0 0 0 0 0 0 0 11 0 2 2 0 31 0 10 1 23 0 179 53 579 1 12 2484 10 2 2071
"s34" 3 615 86 8 6 22 16 0 39 0 21 0 0 10 6 162 55 9 13 0 0 0 0 1 1 0 1 0 9 12 66 0 0 3 0 109 0 8 1 5 2 190 18 2807 3 5 607 12 4 578
"s35" 0 16 16 19 3 264 0 9 91 29 0 0 0 231 6 6 1 4 4 75 6 1 1195 2 0 0 3 16 0 26 42 0 4 0 13 0 1058 0 0 248 92 0 18 19 6 0 41 6 153 0
"s36" 0 28 66 50 0 581 0 3 16 7 2 26 0 52 36 9 0 0 0 408 45 1 252 12 0 3 22 14 0 81 97 0 0 0 18 0 229 0 0 68 617 0 84 130 35 2 150 8 708 10
"s37" 0 0 0 13 0 883 5 46 1 291 65 0 1 13 0 38 27 17 1895 1834 5 3 53 0 1 0 10 2 86 7 17 0 0 182 9 703 344 148 5 28 0 43 0 0 0 0 8 0 4 40
"s38" 0 0 0 3 0 188 17 12 15 54 15 23 1 5 0 85 128 2 379 369 0 3 12 1 0 0 41 4 446 2 76 0 0 32 35 1959 1806 68 3 35 3 6 2 0 0 0 8 0 1 17
"s39" 7 2 0 7 0 796 0 6 13 7 0 692 2 45 14 77 0 40 748 1 0 5 0 606 0 5 0 0 0 335 7 2 4 75 14 94 12 59 52 160 0 6 0 0 171 15 3 38 20 95
"s40" 3 16 0 0 0 219 0 2 6 26 0 163 0 180 10 15 1 8 147 14 1 4 16 123 0 5 2 0 0 57 0 6 4 13 23 22 2 12 9 872 0 0 0 0 32 48 17 129 5 421
