"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"s1" 178 0 0 359 0 37 0 0 2 55 3 13 1 8 0 0 0 0 0 3 14 0 9 3 1 0 3 90 0 0 115 0 0 0 6 22 29 7 194 84 170 0 5 0 0 0 1 7 1 0
"s2" 79 0 0 190 0 34 3 28 234 38 6 161 10 8 6 3 0 14 1 0 5 6 19 16 2 2 5 45 0 2 124 0 4 27 5 16 116 10 147 36 80 1 7 43 0 0 5 0 12 1
"s3" 8 112 0 0 0 39 235 3 0 0 0 22 0 0 0 0 0 0 1 0 4 0 0 0 2 463 0 0 112 0 14 0 3 1942 0 0 20 11 0 0 20 101 0 0 866 0 33 3 0 13
"s4" 3 59 0 20 0 108 124 15 131 2 0 14 109 67 0 0 88 248 83 4 2 0 0 0 924 215 1101 3 44 156 14 0 165 1005 0 11 16 43 425 0 439 35 1080 0 407 5 11 63 0 22
"s5" 0 4 2 0 65 0 183 5 0 728 15 239 1 0 0 0 10 0 1 0 2 0 7 0 0 148 0 41 123 0 72 31 133 0 5 149 0 11 0 0 16 606 0 1 0 0 6 21 118 24
"s6" 0 4 117 1 31 0 87 46 4 366 49 140 1 58 0 19 0 0 0 0 4 0 4 3 6 77 118 23 80 8 935 20 74 0 4 114 15 10 230 2 89 325 17 51 0 53 2033 328 68 246
"s7" 0 361 3 0 26 67 0 371 108 0 69 3 0 0 0 0 0 18 38 93 0 1 0 35 0 0 0 6 0 0 2 3 0 0 24 27 164 0 15 54 5 10 6 12 13 314 17 10 0 0
"s8" 16 168 1 0 25 32 841 282 61 12 126 1 541 140 0 0 0 9 14 55 0 3 0 16 0 0 0 268 4 1 30 2 14 0 4 80 583 5 11 33 3 1 2 23 9 174 7 5 5 4
"s9" 58 0 0 0 0 12 26 0 0 0 65 0 3 0 0 2 24 25 0 0 0 160 21 3 12 0 409 0 0 0 606 2 28 0 0 95 0 0 0 4 986 0 0 45 8 0 14 8 56 1
"s10" 192 0 0 7 0 6 53 0 2 0 44 0 0 0 0 2 30 16 0 2 0 71 8 6 846 117 212 0 3 2 286 1255 52 14 0 55 0 13 0 5 487 51 0 23 5 10 10 0 32 88
"s11" 0 10 45 103 71 0 0 0 4 109 0 0 41 0 0 0 18 0 19 0 0 16 352 1696 0 1 0 4 0 76 40 0 107 0 0 468 0 0 6 0 0 418 2 0 0 0 0 0 2824 0
"s12" 3 0 0 0 0 54 71 1 0 398 499 435 0 60 4 6 25 7 0 41 275 0 0 0 58 0 5 0 11 0 0 961 0 0 0 0 0 0 0 0 204 0 0 8 9 491 71 0 0 29
"s13" 0 17 0 7 78 12 0 0 0 0 0 320 653 890 0 1 0 0 0 0 0 0 31 35 102 0 0 0 0 0 0 60 0 0 0 0 0 0 4 892 9 0 0 0 383 20 186 0 0 0
"s14" 3 25 65 0 0 0 0 3 870 3 658 0 0 0 1 0 0 188 12 0 78 65 0 0 0 1 0 0 4 0 33 0 1 0 0 0 18 479 0 0 0 0 2 26 0 0 0 0 1 17
"s15" 0 6 0 15 0 0 0 12 366 0 3 0 0 0 11 0 0 24 10 0 0 0 0 1 0 5 1 0 0 1 38 0 0 0 414 0 0 0 0 0 51 0 0 908 0 150 0 11 0 0
"s16" 0 16 0 0 140 383 2 0 0 260 0 0 522 494 0 9 21 0 0 0 0 3 176 0 40 0 13 1524 0 2 0 0 123 29 0 9 18 22 1487 0 0 0 0 0 5 0 3 0 0 0
"s17" 0 0 0 0 0 0 0 25 0 7 5 0 0 0 0 2634 19 40 87 502 0 0 0 0 0 0 27 154 0 5 51 13 0 111 1473 0 0 0 8 1 8 0 0 0 0 2 0 16 0 14
