"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"s1" 2 11 0 0 0 20 0 2 35 0 26 13 566 44 14 0 410 0 0 0 0 0 0 31 0 24 0 0 0 0 5 8 0 0 108 0 0 353 1517 9 0 104 0 203 0 0 3 215 0 33
"s2" 2 12 0 0 0 7 488 3 24 70 10 153 244 417 5 0 106 19 86 754 575 586 3 40 0 125 19 57 0 395 1 98 5 0 39 0 4 170 481 0 15 37 1 47 0 0 7 3206 0 16
"s3" 7 0 18 163 0 6 51 0 1339 0 0 44 0 260 12 0 6 838 0 59 0 0 0 0 1 0 1 65 0 475 1588 0 0 0 6 1 2708 0 305 34 0 0 10 145 0 0 126 76 8 26
"s4" 1 0 2 46 467 19 30 0 386 8 1 279 8 232 5 1 189 239 0 16 10 957 41 103 17 40 21 93 0 250 530 0 2 78 3 0 809 823 82 12 0 0 10 936 0 0 32 25 4 13
"s5" 2 7 239 0 0 0 8 2 100 0 13 284 0 0 12 0 1848 16 202 0 0 315 32 0 0 0 2 444 0 78 0 0 0 0 4222 4298 43 54 0 5064 6 5 61 17 0 0 0 6 6 75
"s6" 66 6 204 203 0 28 5 0 1118 251 8 84 611 0 12 0 754 0 60 18 16 148 3 19 0 35 23 111 0 34 0 2 16 6 1683 1348 10 208 21 1604 20 5 20 9 67 0 46 115 89 29
"s7" 0 0 0 0 3 3 38 0 0 27 14 0 0 0 0 0 190 0 0 298 176 0 0 74 0 0 252 48 0 31 0 26 6 15 11 1117 33 0 0 8 0 0 0 0 0 0 0 0 0 0
"s8" 1 6 3 6 0 1063 7 0 13 6 4 103 0 325 6 1 67 48 549 298 83 0 6 36 0 4 76 786 16 31 15 6 0 87 7 345 10 84 59 5 0 1035 1 0 0 7284 390 0 0 151
"s9" 0 147 1418 1 0 2 88 95 148 0 11 0 1229 92 106 1 5 40 15 1978 0 286 0 175 0 242 0 0 163 21 2 90 0 0 0 13 0 0 250 82 571 0 0 60 18 0 5 9 1 0
"s10" 3 67 420 16 0 52 20 30 401 1165 5 0 377 18 88 0 0 22 0 598 2595 325 0 347 303 310 0 0 64 0 5 26 0 7 1 6 2176 16 931 24 216 0 0 20 3 0 13 6 7 16
