"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"s1" 46 5 9 9 68 53 6 1699 0 99 0 2756 0 4 573 3 0 0 0 1716 7 220 46 0 0 6 69 0 5 18 0 0 0 18 0 0 0 0 1 0 0 0 0 0 0 0 0 4 69 0
"s2" 24 0 24 17 26 10 1 499 0 30 0 830 70 10 272 0 7 21 0 465 2603 110 157 0 0 4 52 0 1 23 146 13 0 6 2125 10 158 11 0 150 76 4 0 5 724 0 0 0 19 1
"s3" 4 0 242 77 75 0 3 201 0 0 0 0 27 33 76 460 3 4 4 0 0 0 5 0 8 7 72 0 0 0 479 17 0 2 2 0 27 83 42 0 0 0 3 103 0 3073 79 205 0 0
"s4" 0 6 71 28 18 7 36 48 20 6 5 6 296 23 968 154 6 6 0 0 0 365 29 22 0 26 352 13 0 7 165 7 176 68 23 22 26 79 8 2 10 2 7 31 11 954 474 105 65 10
"s5" 1 2 93 3136 3 438 2 0 108 499 36 15 0 0 19 0 3 0 16 60 0 0 2 2 5 0 0 945 0 4 3 0 0 0 0 56 23 0 66 0 0 8 35 4 1025 7 37 0 19 0
"s6" 99 3 32 968 2 159 1 0 171 163 17 11 0 13 722 177 5 15 21 338 111 2 1 1 6 0 7 290 4 3 1 0 0 90 0 22 40 0 18 2 0 4 11 33 1131 0 63 147 378 0
"s7" 25 19 3789 3 41 28 12 0 41 679 0 4 0 2 24 42 0 0 0 9 9 1057 0 0 0 0 277 21 9 0 3197 1052 0 0 0 19 0 25 0 720 9 0 2868 11 13 7 73 0 21 0
"s8" 5 2 1064 147 23 7 11 26 14 185 0 2 0 1 21 18 161 22 17 7 1148 347 0 1 82 118 97 127 5 1 956 303 108 2 5 9 0 33 4 212 209 0 934 646 229 3 26 171 725 0
"s9" 21 3 3 427 0 26 0 0 233 0 0 0 0 3 329 0 55 0 3224 0 0 4 4 0 0 85 102 0 0 9 39 0 0 4 0 0 16 99 9 1 148 0 0 13 57 14 0 1818 0 1
"s10" 26 57 140 153 3 8 19 13 229 0 0 2 84 1 100 0 25 17 1075 2 9 54 5 71 0 32 32 5 0 6 18 0 131 0 0 453 30 104 2 1 703 1 121 8 374 4 114 561 0 5
"s11" 0 0 0 0 0 2 11 0 0 0 0 0 0 0 0 55 0 7 0 4 0 0 0 0 0 40 240 0 2 5 0 0 0 0 0 0 66 601 0 28 507 5781 0 0 0 19 0 46 0 1
"s12" 19 236 17 0 6 0 0 11 3038 8 0 1384 0 0 0 0 30 0 33 0 17 99 19 0 0 0 0 3 6 0 0 459 64 561 23 58 0 1212 39 0 0 0 7 0 63 6 39 16 34 0
"s13" 3 0 5 0 24 0 0 982 74 179 938 0 299 6 0 0 3 21 0 0 0 7 0 1 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 1365 3 0 0 325 2 255 8 53 0
"s14" 0 0 0 34 0 0 45 0 213 0 0 0 0 0 0 1037 3 7 0 9 0 0 13 0 0 0 0 0 0 9 0 21 0 3669 155 46 0 10 2 0 0 2 7 988 237 0 0 14 0 1
"s15" 0 197 41 0 1 0 188 2 37 28 0 2 724 0 0 0 2395 2662 0 0 10 0 0 0 782 5051 49 0 0 18 0 0 0 0 163 0 0 0 1 0 0 0 0 4 0 2 0 6 0 0
"s16" 26 0 2 15 3 0 294 0 0 13 1180 5 0 11 1256 0 0 0 3 0 4 8 5300 0 741 0 0 0 120 0 449 0 172 0 0 0 4643 16 5 4 464 0 36 7 0 0 272 76 0 5862
"s17" 0 0 6 0 3 270 0 0 0 0 0 0 15 1712 0 3102 5 0 0 4 4 3224 0 0 0 0 0 0 0 0 0 3 1488 0 0 0 15 0 13 0 0 0 981 4 0 0 29 0 478 2
"s18" 21 5 0 7 0 0 0 196 13 254 13 0 0 0 87 0 0 108 9 0 13 0 4 0 42 6 22 0 0 0 0 0 0 0 0 16 0 8 27 0 257 0 0 0 11 0 334 0 234 0
"s19" 0 0 136 1 0 3 8 237 0 0 0 17 0 0 0 15 0 80 88 905 107 34 5 27 0 0 1705 0 0 0 14 46 276 0 0 0 0 50 0 1 10 1 0 0 508 0 15 5 239 0
"s20" 979 23 0 0 3389 0 0 0 26 3 300 0 0 314 0 0 0 12 0 0 0 0 0 0 8 3 0 69 5490 0 0 0 133 159 1882 741 0 0 0 0 0 0 0 0 0 106 0 0 28 0
"s21" 993 0 4 0 5 27 0 46 0 0 9 0 0 20 6 164 11 0 0 0 4 1 0 2 0 0 6 3263 5 0 4 19 989 0 0 11 40 1435 496 0 0 0 0 11 51 11 745 5 0 0
"s22" 0 0 0 8 1 0 0 0 0 2111 0 1 182 0 0 7 0 40 380 0 0 0 68 3 62 0 0 0 5 0 0 0 1007 0 15 0 0 0 0 4733 28 0 177 0 124 0 1568 502 111 0
"s23" 722 7 3 8 0 6 40 14 35 0 54 0 20 0 120 236 8 121 310 480 6 1 0 0 30 125 0 5 0 156 0 7 0 0 0 1395 46 16 0 0 72 14 0 0 16 0 0 3 278 0
"s24" 0 50 51 0 1931 7 0 95 0 129 0 14 0 57 48 0 0 177 0 0 13 8 44 5771 0 46 13 508 0 504 0 0 0 0 20 0 125 12 0 0 27 0 0 0 0 638 0 0 0 1
"s25" 0 0 0 1 41 3 35 10 31 17 11 57 59 0 14 6 13 14 12 0 7 62 0 9 16 8 0 119 0 0 6 0 0 0 3 52 45 39 0 0 0 48 18 0 0 501 0 0 84 0
"s26" 106 485 0 37 0 0 0 7 0 97 0 0 0 15 87 42 0 7 21 0 0 0 30 0 39 19 22 0 0 0 0 2631 111 2 0 0 0 37 0 3 0 0 129 0 27 0 0 0 0 5
"s27" 0 0 19 0 36 16 14 4 0 0 742 0 0 177 0 0 0 10 0 0 182 11 0 0 30 9 0 89 0 127 5 11 118 27 0 0 124 26 0 11 457 4 6 13 0 0 19 11 0 18
"s28" 0 0 0 54 0 0 0 0 0 149 0 46 0 3091 0 0 0 5 47 0 0 183 0 0 0 12 135 15 19 231 3 43 0 0 8 0 20 729 1 0 0 4 0 0 0 9 351 0 0 2
"s29" 7 39 2 13 99 148 0 0 51 14 45 0 0 9 98 41 472 99 0 65 5 60 6 0 7 7 0 1 0 16 33 1208 178 0 0 2766 0 185 0 1 104 0 10 0 0 90 56 12 66 0
"s30" 89 104 0 0 16 0 1116 435 0 123 1318 0 88 0 0 39 0 0 0 0 16 0 0 0 351 35 0 0 69 0 0 0 0 48 0 0 0 0 1 0 40 0 0 0 217 0 0 20 2702 0
"s31" 0 205 38 375 0 377 3 7 19 24 132 178 0 3 494 6 542 52 41 14 3 0 0 0 7 8 108 4 12 10 20 35 0 314 0 0 66 387 43 5 114 4 8 0 20 322 0 0 0 1
"s32" 0 104 11 116 0 113 0 2 17 70 29 565 0 2 207 4 1861 20 151 38 5 0 0 0 3 5 442 0 4 31 86 18 64 853 4 6 227 440 18 18 28 0 13 0 70 92 0 0 35 0
"s33" 0 440 62 5 0 272 56 0 15 171 504 0 0 8 91 143 68 55 0 10 0 6 0 0 0 6 203 0 92 8 3 2 0 3 29 24 18 203 3854 3 907 14 28 830 376 10 407 0 0 0
"s34" 0 1446 15 18 0 102 150 0 51 480 155 0 21 18 31 39 202 30 0 2 0 17 3 1 0 6 654 12 32 21 1 1 0 6 70 54 90 46 1254 16 335 12 61 1877 139 4 112 0 0 0
"s35" 33 440 7 198 16 0 741 96 963 53 56 4 408 258 15 6 15 0 63 62 30 11 7 0 17 6 44 106 5 1016 0 5 113 20 24 4 20 0 0 0 0 0 208 763 11 5 0 39 0 0
"s36" 36 1491 3 54 39 0 2507 79 389 52 77 2 141 107 66 0 5 9 18 27 7 6 8 0 21 0 42 303 23 3397 0 3 103 52 63 0 35 0 0 0 11 0 204 220 21 16 11 106 0 0
"s37" 557 104 2 0 26 2465 104 271 0 214 43 0 646 2 6 87 0 123 225 0 5 0 5 0 15 110 60 5 0 26 0 0 0 0 375 89 0 9 3 0 0 0 7 250 80 2 47 198 0 0
"s38" 1851 227 12 1 16 778 21 931 20 61 131 0 1839 11 22 28 7 361 103 0 4 1 10 0 0 119 76 8 3 10 0 0 0 0 875 44 0 16 4 0 0 0 0 90 51 6 47 107 17 0
"s39" 161 158 6 0 0 453 370 0 53 0 68 3 228 0 118 0 4 1404 22 1201 1204 11 93 0 833 0 723 0 0 91 76 3 509 4 11 6 0 0 0 0 20 2 9 0 0 4 466 1313 81 1
"s40" 57 53 2 1 0 133 117 0 50 0 48 7 764 0 41 0 2 402 28 493 378 2 47 0 2806 12 293 0 0 164 207 4 171 3 36 8 11 0 0 0 10 3 23 0 0 4 272 413 175 0
