"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"s1" 54 2 0 0 0 0 62 0 71 5 0 0 30 0 0 0 3 7 0 3 0 0 0 0 8 2 0 0 5 0 0 6 0 54 0 2 0 0 88 0 35 3 8 11 4 0 118 41 2 18
"s2" 100 326 7 0 0 30 11 0 21 6 28 370 9 0 3 2 5 27 9 1 0 0 0 59 4 0 198 4 24 9 0 129 0 11 33 0 2 45 27 0 24 25 17 2 69 12 28 8 0 0
"s3" 8 0 62 137 2 0 1 14 90 0 6 0 0 18 233 0 0 0 0 2 6 1 0 2 5 82 4 32 74 0 0 4 3 515 9 0 0 7 2 0 7 10 5 4 1 480 0 37 18 360
"s4" 2 0 330 72 0 25 236 28 26 43 0 94 136 3 37 3 0 0 0 0 131 0 32 2 0 17 3 2 49 0 0 1 3 112 85 0 0 4 12 4 5 2 18 1 3 102 5 8 28 70
"s5" 0 0 27 0 2 13 6 0 10 412 0 14 0 0 0 7 2 0 5 0 14 0 141 0 11 0 7 0 134 0 485 3 0 0 0 67 1181 1 10 80 0 0 42 0 0 0 3 20 0 5
"s6" 970 12 15 0 1 1 2 0 5 68 91 76 66 5 0 1 0 0 4 0 51 0 25 167 0 0 0 0 35 0 89 0 1 5 0 1169 240 2 5 26 0 250 6 0 2 0 3 114 2 4
"s7" 2 0 13 0 1 0 0 0 19 0 187 10 7 0 0 5 0 0 10 10 0 1753 1773 5 0 0 7 0 4 0 18 67 0 0 0 0 0 0 0 0 5 6 17 0 0 7 0 44 20 0
"s8" 0 5 0 57 4 0 45 203 14 19 38 0 305 1 2 7 12 2 3 0 1 379 365 2 0 805 1 78 0 4 10 247 0 408 0 1 0 0 2 0 0 20 26 0 1 0 1 16 5 0
"s9" 2 13 0 0 0 6 0 35 2 0 4 0 0 2 0 0 23 3 0 0 0 0 1 8 3 2 0 0 26 5 13 2 6 16 0 0 0 0 793 16 0 2 18 0 0 153 0 27 0 0
"s10" 0 4 1 36 0 8 0 2 0 29 18 9 9 1 21 0 26 8 20 2 32 4 0 23 0 2 100 173 4 4 7 3 0 3 0 6 2 0 187 10 18 68 14 0 0 34 0 8 0 0
"s11" 0 5 6 48 3 549 2 303 0 10 15 97 0 83 0 13 13 7 208 71 0 4 0 1 5 0 0 0 0 0 0 1 0 2 426 11 16 0 347 0 0 1 19 0 2 15 129 0 0 0
"s12" 4 0 0 21 0 0 0 0 63 0 0 4 53 0 0 0 1 29 41 0 20 11 0 0 0 57 2 18 703 0 0 4 0 0 79 0 0 0 0 0 0 0 0 0 0 15 0 1116 32 0
"s13" 0 0 0 0 0 450 0 50 0 23 7 14 0 2173 0 1 0 10 4 1049 5 0 0 228 0 52 0 0 0 0 0 0 191 0 0 1 0 2 0 0 410 0 46 0 4 1 2 6 54 200
"s14" 1 191 53 114 21 0 294 0 4 14 0 6 181 0 19 0 0 0 0 0 0 1 0 0 1401 0 2 22 14 29 19 5 0 135 1 2 186 0 0 29 0 0 17 0 1 0 0 0 0 0
"s15" 11 0 0 0 0 0 11 5 0 11 0 0 0 1 1747 0 1389 0 0 51 0 3 0 161 0 0 4 1680 0 0 1394 18 1075 0 0 0 0 0 0 6 7 0 25 0 0 57 516 31 0 38
"s16" 28 9 0 0 4 0 0 0 0 0 262 74 0 0 0 0 0 106 370 0 9 0 0 0 5 0 0 0 26 0 0 33 0 0 3 0 0 22 38 15 7 35 3 5 1 0 0 30 19 0
"s17" 0 0 473 37 0 19 0 0 0 0 1218 215 779 4 0 701 0 1 0 0 0 0 0 64 0 7 7 6 0 9 0 11 0 0 0 0 0 0 27 0 38 0 0 0 10 4 1366 3 0 23
"s18" 0 41 0 0 2 0 0 0 0 3 0 0 0 0 0 0 0 0 0 394 0 8 0 0 0 0 0 0 19 0 14 8 0 3 12 6 0 75 0 824 0 0 32 338 0 0 0 0 221 22
"s19" 0 22 14 0 2251 13 5 0 873 6 0 0 0 0 0 7 0 0 0 0 0 0 0 0 3 1012 2 0 3 0 0 0 26 653 156 0 0 6 0 1168 0 0 0 0 87 0 0 9 0 189
"s20" 92 0 0 0 0 0 0 4 0 0 72 0 39 3 33 0 0 10 215 165 20 61 0 21 0 0 6 0 0 2 9 119 0 0 0 0 0 0 71 0 68 151 1513 0 0 13 23 0 5 0
"s21" 3 0 10 0 0 0 0 19 17 192 66 0 0 18 205 0 15 0 0 0 0 0 0 0 14 145 2 178 0 0 21 0 50 0 101 1 706 0 2 3 0 14 22 1 0 0 7 50 97 0
"s22" 0 0 0 0 4 315 4 496 8 0 0 23 0 0 0 2 0 0 0 0 0 3 9 1294 143 0 50 0 0 9 31 5 0 1 191 0 0 0 6 0 132 2 28 0 0 0 0 0 7 17
"s23" 2 874 0 0 4 3 0 0 0 51 0 229 33 0 1 4 0 6 0 307 0 11 0 16 4 0 0 0 8 0 0 2 869 1 2 0 0 2 0 28 0 3 23 0 0 13 0 0 0 6
"s24" 0 0 16 916 0 16 0 0 89 0 0 0 0 0 25 0 0 0 0 2 2 87 0 56 0 0 0 0 0 2 0 0 0 18 4 3 0 0 4 0 0 550 0 0 31 0 0 0 8 0
"s25" 0 18 5 2 0 86 1479 0 23 737 167 0 0 0 0 0 2 0 15 1 0 5 0 1 38 10 2 11 13 2279 151 55 46 2 75 1 0 0 13 0 6 0 57 0 166 19 0 427 0 0
"s26" 0 5 151 0 0 0 0 512 0 0 0 11 119 4 8 0 20 0 0 6 0 0 0 1 0 0 225 8 41 0 0 0 0 0 0 12 0 0 12 48 20 1 0 1 0 0 12 0 3 0
"s27" 40 399 0 0 0 0 0 145 0 23 0 741 39 0 5 7 20 22 5 0 12 0 4 11 108 0 3 6 5 0 18 1 21 0 6 3 1 1 2 2 4 1 0 1988 0 0 0 0 0 573
"s28" 261 0 0 11 0 0 0 0 0 13 33 0 0 11 0 18 0 0 14 79 7 0 0 0 179 0 25 0 10 0 9 0 0 5 0 0 0 240 0 3 0 154 0 0 1799 0 84 19 2 0
"s29" 9 89 0 9 8 3 0 267 9 3 0 0 102 4 0 0 34 2046 789 22 89 0 3 0 0 8 1174 9 2 0 0 12 0 8 0 2 0 3 129 33 1209 5 21 2 0 1213 34 0 0 42
"s30" 23 0 4 0 0 127 142 0 1 0 0 55 0 0 13 68 692 0 0 0 0 1 0 47 26 0 0 4 534 0 12 0 9 0 0 0 1 17 32 0 0 772 0 0 17 0 0 0 181 0
"s31" 80 21 3 0 7 21 2 0 0 0 5 0 60 0 0 1015 3 3 0 40 2 2 0 64 1 5 2 19 154 1 0 71 4 185 109 108 1 0 35 0 20 26 52 0 124 172 3 3 26 18
